o : 0, h : 0, w : 10, ich : 0, kh : 0, kw : 1, ph : -1, pw : 10, pix_idx : -18, weight_idx : 1
o : 0, h : 0, w : 10, ich : 0, kh : 0, kw : 2, ph : -1, pw : 11, pix_idx : -17, weight_idx : 2
o : 0, h : 0, w : 10, ich : 0, kh : 1, kw : 0, ph : 0, pw : 9, pix_idx : 9, weight_idx : 3
o : 0, h : 0, w : 10, ich : 0, kh : 1, kw : 1, ph : 0, pw : 10, pix_idx : 10, weight_idx : 4
o : 0, h : 0, w : 10, ich : 0, kh : 1, kw : 2, ph : 0, pw : 11, pix_idx : 11, weight_idx : 5
o : 0, h : 0, w : 10, ich : 0, kh : 2, kw : 0, ph : 1, pw : 9, pix_idx : 37, weight_idx : 6
o : 0, h : 0, w : 10, ich : 0, kh : 2, kw : 1, ph : 1, pw : 10, pix_idx : 38, weight_idx : 7
o : 0, h : 0, w : 10, ich : 0, kh : 2, kw : 2, ph : 1, pw : 11, pix_idx : 39, weight_idx : 8
wが10の時
o : 0, h : 0, w : 11, ich : 0, kh : 0, kw : 0, ph : -1, pw : 10, pix_idx : -18, weight_idx : 0
o : 0, h : 0, w : 11, ich : 0, kh : 0, kw : 1, ph : -1, pw : 11, pix_idx : -17, weight_idx : 1
o : 0, h : 0, w : 11, ich : 0, kh : 0, kw : 2, ph : -1, pw : 12, pix_idx : -16, weight_idx : 2
o : 0, h : 0, w : 11, ich : 0, kh : 1, kw : 0, ph : 0, pw : 10, pix_idx : 10, weight_idx : 3
o : 0, h : 0, w : 11, ich : 0, kh : 1, kw : 1, ph : 0, pw : 11, pix_idx : 11, weight_idx : 4
o : 0, h : 0, w : 11, ich : 0, kh : 1, kw : 2, ph : 0, pw : 12, pix_idx : 12, weight_idx : 5
o : 0, h : 0, w : 11, ich : 0, kh : 2, kw : 0, ph : 1, pw : 10, pix_idx : 38, weight_idx : 6
o : 0, h : 0, w : 11, ich : 0, kh : 2, kw : 1, ph : 1, pw : 11, pix_idx : 39, weight_idx : 7
o : 0, h : 0, w : 11, ich : 0, kh : 2, kw : 2, ph : 1, pw : 12, pix_idx : 40, weight_idx : 8
wが11の時
o : 0, h : 0, w : 12, ich : 0, kh : 0, kw : 0, ph : -1, pw : 11, pix_idx : -17, weight_idx : 0
o : 0, h : 0, w : 12, ich : 0, kh : 0, kw : 1, ph : -1, pw : 12, pix_idx : -16, weight_idx : 1
o : 0, h : 0, w : 12, ich : 0, kh : 0, kw : 2, ph : -1, pw : 13, pix_idx : -15, weight_idx : 2
o : 0, h : 0, w : 12, ich : 0, kh : 1, kw : 0, ph : 0, pw : 11, pix_idx : 11, weight_idx : 3
o : 0, h : 0, w : 12, ich : 0, kh : 1, kw : 1, ph : 0, pw : 12, pix_idx : 12, weight_idx : 4
o : 0, h : 0, w : 12, ich : 0, kh : 1, kw : 2, ph : 0, pw : 13, pix_idx : 13, weight_idx : 5
o : 0, h : 0, w : 12, ich : 0, kh : 2, kw : 0, ph : 1, pw : 11, pix_idx : 39, weight_idx : 6
o : 0, h : 0, w : 12, ich : 0, kh : 2, kw : 1, ph : 1, pw : 12, pix_idx : 40, weight_idx : 7
o : 0, h : 0, w : 12, ich : 0, kh : 2, kw : 2, ph : 1, pw : 13, pix_idx : 41, weight_idx : 8
wが12の時
o : 0, h : 0, w : 13, ich : 0, kh : 0, kw : 0, ph : -1, pw : 12, pix_idx : -16, weight_idx : 0
o : 0, h : 0, w : 13, ich : 0, kh : 0, kw : 1, ph : -1, pw : 13, pix_idx : -15, weight_idx : 1
o : 0, h : 0, w : 13, ich : 0, kh : 0, kw : 2, ph : -1, pw : 14, pix_idx : -14, weight_idx : 2
o : 0, h : 0, w : 13, ich : 0, kh : 1, kw : 0, ph : 0, pw : 12, pix_idx : 12, weight_idx : 3
o : 0, h : 0, w : 13, ich : 0, kh : 1, kw : 1, ph : 0, pw : 13, pix_idx : 13, weight_idx : 4
o : 0, h : 0, w : 13, ich : 0, kh : 1, kw : 2, ph : 0, pw : 14, pix_idx : 14, weight_idx : 5
o : 0, h : 0, w : 13, ich : 0, kh : 2, kw : 0, ph : 1, pw : 12, pix_idx : 40, weight_idx : 6
o : 0, h : 0, w : 13, ich : 0, kh : 2, kw : 1, ph : 1, pw : 13, pix_idx : 41, weight_idx : 7
o : 0, h : 0, w : 13, ich : 0, kh : 2, kw : 2, ph : 1, pw : 14, pix_idx : 42, weight_idx : 8
wが13の時
o : 0, h : 0, w : 14, ich : 0, kh : 0, kw : 0, ph : -1, pw : 13, pix_idx : -15, weight_idx : 0
o : 0, h : 0, w : 14, ich : 0, kh : 0, kw : 1, ph : -1, pw : 14, pix_idx : -14, weight_idx : 1
o : 0, h : 0, w : 14, ich : 0, kh : 0, kw : 2, ph : -1, pw : 15, pix_idx : -13, weight_idx : 2
o : 0, h : 0, w : 14, ich : 0, kh : 1, kw : 0, ph : 0, pw : 13, pix_idx : 13, weight_idx : 3
o : 0, h : 0, w : 14, ich : 0, kh : 1, kw : 1, ph : 0, pw : 14, pix_idx : 14, weight_idx : 4
o : 0, h : 0, w : 14, ich : 0, kh : 1, kw : 2, ph : 0, pw : 15, pix_idx : 15, weight_idx : 5
o : 0, h : 0, w : 14, ich : 0, kh : 2, kw : 0, ph : 1, pw : 13, pix_idx : 41, weight_idx : 6
o : 0, h : 0, w : 14, ich : 0, kh : 2, kw : 1, ph : 1, pw : 14, pix_idx : 42, weight_idx : 7
o : 0, h : 0, w : 14, ich : 0, kh : 2, kw : 2, ph : 1, pw : 15, pix_idx : 43, weight_idx : 8
wが14の時
o : 0, h : 0, w : 15, ich : 0, kh : 0, kw : 0, ph : -1, pw : 14, pix_idx : -14, weight_idx : 0
o : 0, h : 0, w : 15, ich : 0, kh : 0, kw : 1, ph : -1, pw : 15, pix_idx : -13, weight_idx : 1
o : 0, h : 0, w : 15, ich : 0, kh : 0, kw : 2, ph : -1, pw : 16, pix_idx : -12, weight_idx : 2
o : 0, h : 0, w : 15, ich : 0, kh : 1, kw : 0, ph : 0, pw : 14, pix_idx : 14, weight_idx : 3
o : 0, h : 0, w : 15, ich : 0, kh : 1, kw : 1, ph : 0, pw : 15, pix_idx : 15, weight_idx : 4
o : 0, h : 0, w : 15, ich : 0, kh : 1, kw : 2, ph : 0, pw : 16, pix_idx : 16, weight_idx : 5
o : 0, h : 0, w : 15, ich : 0, kh : 2, kw : 0, ph : 1, pw : 14, pix_idx : 42, weight_idx : 6
o : 0, h : 0, w : 15, ich : 0, kh : 2, kw : 1, ph : 1, pw : 15, pix_idx : 43, weight_idx : 7
o : 0, h : 0, w : 15, ich : 0, kh : 2, kw : 2, ph : 1, pw : 16, pix_idx : 44, weight_idx : 8
wが15の時
o : 0, h : 0, w : 16, ich : 0, kh : 0, kw : 0, ph : -1, pw : 15, pix_idx : -13, weight_idx : 0
o : 0, h : 0, w : 16, ich : 0, kh : 0, kw : 1, ph : -1, pw : 16, pix_idx : -12, weight_idx : 1
o : 0, h : 0, w : 16, ich : 0, kh : 0, kw : 2, ph : -1, pw : 17, pix_idx : -11, weight_idx : 2
o : 0, h : 0, w : 16, ich : 0, kh : 1, kw : 0, ph : 0, pw : 15, pix_idx : 15, weight_idx : 3
